Lemma	Eng Gloss	POS	Level	Word source	Ex. ID	Form 	Analysis	Example Sentence	Translation	Reference	Topic(s)
слово	word	N.Neut.Inan	A1	Golosa, MIP, Лм	1	словам	Plur.Dat	По словам директора, цена за билет на фестиваль очень низкая.	According to the director, the cost of a ticket to the festival is very low.		коммуникация, общество
слово	word	N.Neut.Inan	A1	Golosa, MIP, Лм	2	слова	Sing.Gen	Значение этого слова неизвестно.	The meaning of this word is unknown.		коммуникация, общество
слово	word	N.Neut.Inan	A1	Golosa, MIP, Лм	3	слово	Sing.Nom	В начале было слово.	In the beginning was the word.	John 1:1	коммуникация, общество
											
год	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	1	лет	Gen.Plur	_	_	_	мера, время
год	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	2	года	Gen.Sing	_	_	_	мера, время
год	_	N.Masc.Inan	A1	Golosa, MiP, LM, МН	3	году	Loc.Sing	_	_	_	мера, время
человек	_	N.Masc.Anim	A1	Golosa, MiP, LM, МН	1	люди	Nom.Plur	_	_	_	люди
человек	_	N.Masc.Anim	A1	Golosa, MiP, LM, МН	2	человек	Nom.Sing	_	_	_	люди
человек	_	N.Masc.Anim	A1	Golosa, MiP, LM, МН	3	человека	Gen.Sing	_	_	_	люди
брать	_	V	A1	Golosa, MiP, LM, МН, Поехали	1	брать	Inf	_	_	_	общение, магазин
брать	_	V	A1	Golosa, MiP, LM, МН, Поехали	2	берёт	Sing.3.Pres/Fut	_	_	_	общение, магазин
брать	_	V	A1	Golosa, MiP, LM, МН, Поехали	3	брали	Plur.Past	_	_	_	общение, магазин
взять	_	V	A1	LM, МН, Поехали	1	взять	Inf	_	_	_	общение, магазин
взять	_	V	A1	LM, МН, Поехали	2	взял	Masc.Sing.Past	_	_	_	общение, магазин
взять	_	V	A1	LM, МН, Поехали	3	взяли	Plur.Past	_	_	_	общение, магазин
время	_	N.Neut.Inan	A1	Golosa, MiP, LM, МН	1	время	Acc.Sing	_	_	_	время
время	_	N.Neut.Inan	A1	Golosa, MiP, LM, МН	2	времени	Gen.Sing	_	_	_	время
время	_	N.Neut.Inan	A1	Golosa, MiP, LM, МН	3	временем	Ins.Sing	_	_	_	время
вопрос	_	N.Masc.Inan	A1	Golosa, MiP, МН, Поехали	1	вопрос	Nom.Sing	_	_	_	люди
вопрос	_	N.Masc.Inan	A1	Golosa, MiP, МН, Поехали	2	вопросы	Acc.Plur	_	_	_	люди
вопрос	_	N.Masc.Inan	A1	Golosa, MiP, МН, Поехали	3	вопросов	Gen.Plur	_	_	_	люди
раз	_	N.Masc.Inan	A1	LM, МН	1	раз	Acc.Sing	_	_	_	мера, время
