Lemma	Eng Gloss	POS	Level	Word source	Ex. ID	Form 	Analysis	Example Sentence	Translation	Reference	Topic(s)
автобусный	_	A	B1	LM	1	автобусной	Loc.Fem.Sing	_	_	_	_
автобусный	_	A	B1	LM	2	автобусного	Gen.Masc.Sing	_	_	_	_
автобусный	_	A	B1	LM	3	автобусная	Nom.Fem.Sing	_	_	_	_
автомат	_	N.Masc.Inan	B1	MiP, LM	1	автомат	Acc.Sing	_	_	_	_
автомат	_	N.Masc.Inan	B1	MiP, LM	2	автомата	Gen.Sing	_	_	_	_
автомат	_	N.Masc.Inan	B1	MiP, LM	3	автоматов	Gen.Plur	_	_	_	_
американский	_	A	B1	Golosa, MiP, LM, МН	1	американский	Nom.Masc.Sing	_	_	_	_
американский	_	A	B1	Golosa, MiP, LM, МН	2	американского	Gen.Masc.Sing	_	_	_	_
американский	_	A	B1	Golosa, MiP, LM, МН	3	американских	Gen.Plur	_	_	_	_
автомобиль	_	N.Masc.Inan	B1	MiP, LM	1	автомобиля	Gen.Sing	_	_	_	_
автомобиль	_	N.Masc.Inan	B1	MiP, LM	2	автомобилей	Gen.Plur	_	_	_	_
автомобиль	_	N.Masc.Inan	B1	MiP, LM	3	автомобиль	Nom.Sing	_	_	_	_
академия	_	N.Fem.Inan	B1	LM	1	академии	Gen.Sing	_	_	_	_
академия	_	N.Fem.Inan	B1	LM	2	академию	Acc.Sing	_	_	_	_
академия	_	N.Fem.Inan	B1	LM	3	академия	Nom.Sing	_	_	_	_
альбом	_	N.Masc.Inan	B1	Golosa, MiP, LM	1	альбома	Gen.Sing	_	_	_	_
альбом	_	N.Masc.Inan	B1	Golosa, MiP, LM	2	альбом	Acc.Sing	_	_	_	_
альбом	_	N.Masc.Inan	B1	Golosa, MiP, LM	3	альбомы	Acc.Plur	_	_	_	_
американец	_	N.Masc.Anim	B1	LM, МН, Поехали	1	американцы	Nom.Plur	_	_	_	_
американец	_	N.Masc.Anim	B1	LM, МН, Поехали	2	американцев	Gen.Plur	_	_	_	_
американец	_	N.Masc.Anim	B1	LM, МН, Поехали	3	американец	Nom.Sing	_	_	_	_
американка	_	N.Fem.Anim	B1	LM, МН, Поехали	1	американка	Nom.Sing	_	_	_	_
американка	_	N.Fem.Anim	B1	LM, МН, Поехали	2	американок	Gen.Plur	_	_	_	_
анализ	_	N.Masc.Inan	B1	Golosa, LM	1	анализа	Gen.Sing	_	_	_	_
анализ	_	N.Masc.Inan	B1	Golosa, LM	2	анализ	Nom.Sing	_	_	_	_
анализ	_	N.Masc.Inan	B1	Golosa, LM	3	анализу	Dat.Sing	_	_	_	_
анализировать	_	V	B1	LM	1	анализировать	Inf	_	_	_	_
анализировать	_	A	B1	LM	2	анализируемых	Gen.Plur	_	_	_	_
анализировать	_	V	B1	LM	3	анализируя	Pres/Fut	_	_	_	_
ангина	_	N.Fem.Inan	B1	Golosa, LM, Поехали	1	ангина	Nom.Sing	_	_	_	_
ангина	_	N.Fem.Inan	B1	Golosa, LM, Поехали	2	ангиной	Ins.Sing	_	_	_	_
переезжать	_	V	B1	Golosa, MiP, LM	1	переезжая	Pres/Fut	_	_	_	_
переезжать	_	V	B1	Golosa, MiP, LM	2	переезжать	Inf	_	_	_	_
переезжать	_	V	B1	Golosa, MiP, LM	3	переезжали	Plur.Past	_	_	_	_
ансамбль	_	N.Masc.Inan	B1	Golosa, LM	1	ансамбль	Acc.Sing	_	_	_	_
ансамбль	_	N.Masc.Inan	B1	Golosa, LM	2	ансамбля	Gen.Sing	_	_	_	_
ансамбль	_	N.Masc.Inan	B1	Golosa, LM	3	ансамбли	Nom.Plur	_	_	_	_
армия	_	N.Fem.Inan	B1	LM	1	армии	Gen.Sing	_	_	_	_
армия	_	N.Fem.Inan	B1	LM	2	армию	Acc.Sing	_	_	_	_
армия	_	N.Fem.Inan	B1	LM	3	армия	Nom.Sing	_	_	_	_
атмосфера	_	N.Fem.Inan	B1	LM	1	атмосферу	Acc.Sing	_	_	_	_
атмосфера	_	N.Fem.Inan	B1	LM	2	атмосфера	Nom.Sing	_	_	_	_
атмосфера	_	N.Fem.Inan	B1	LM	3	атмосферы	Gen.Sing	_	_	_	_
атомный	_	A	B1	LM	1	атомных	Gen.Plur	_	_	_	_
атомный	_	A	B1	LM	2	атомной	Gen.Fem.Sing	_	_	_	_
атомный	_	A	B1	LM	3	атомного	Gen.Neut.Sing	_	_	_	_
афиша	_	N.Fem.Inan	B1	LM	1	афиша	Nom.Sing	_	_	_	_
афиша	_	N.Fem.Inan	B1	LM	2	афиши	Acc.Plur	_	_	_	_
афиша	_	N.Fem.Inan	B1	LM	3	афише	Loc.Sing	_	_	_	_
балерина	_	N.Fem.Anim	B1	LM	1	балериной	Ins.Sing	_	_	_	_
балкон	_	N.Masc.Inan	B1	MiP, LM, МН	1	балкона	Gen.Sing	_	_	_	_
балкон	_	N.Masc.Inan	B1	MiP, LM, МН	2	балконе	Loc.Sing	_	_	_	_
балкон	_	N.Masc.Inan	B1	MiP, LM, МН	3	балконов	Gen.Plur	_	_	_	_
банан	_	N.Masc.Inan	B1	Golosa, MiP, LM, МН, Поехали	1	бананы	Nom.Plur	_	_	_	_
банан	_	N.Masc.Inan	B1	Golosa, MiP, LM, МН, Поехали	2	бананами	Ins.Plur	_	_	_	_
банан	_	N.Masc.Inan	B1	Golosa, MiP, LM, МН, Поехали	3	банан	Acc.Sing	_	_	_	_
банка	_	N.Fem.Inan	B1	LM	1	банку	Acc.Sing	_	_	_	_
банка	_	N.Fem.Inan	B1	LM	2	банки	Gen.Sing	_	_	_	_
банка	_	N.Fem.Inan	B1	LM	3	банок	Gen.Plur	_	_	_	_
баскетболист	_	N.Masc.Anim	B1	LM	1	баскетболисты	Nom.Plur	_	_	_	_
баскетболист	_	N.Masc.Anim	B1	LM	2	баскетболистов	Gen.Plur	_	_	_	_
башня	_	N.Fem.Inan	B1	LM, МН	1	башня	Nom.Sing	_	_	_	_
башня	_	N.Fem.Inan	B1	LM, МН	2	башни	Gen.Sing	_	_	_	_
башня	_	N.Fem.Inan	B1	LM, МН	3	башне	Loc.Sing	_	_	_	_
бензин	_	N.Masc.Inan	B1	Golosa, LM	1	бензина	Gen.Sing	_	_	_	_
бензин	_	N.Masc.Inan	B1	Golosa, LM	2	бензин	Nom.Sing	_	_	_	_
береза	_	N.Fem.Inan	B1	LM	1	берёза	Nom.Sing	_	_	_	_
береза	_	N.Fem.Inan	B1	LM	2	берёз	Gen.Plur	_	_	_	_
береза	_	N.Fem.Inan	B1	LM	3	берёзы	Nom.Plur	_	_	_	_
беседа	_	N.Fem.Inan	B1	LM	1	беседы	Gen.Sing	_	_	_	_
беседа	_	N.Fem.Inan	B1	LM	2	беседу	Acc.Sing	_	_	_	_
беседа	_	N.Fem.Inan	B1	LM	3	беседа	Nom.Sing	_	_	_	_
беспокоиться	_	V	B1	LM	1	беспокойтесь	Imper.Plur.2	_	_	_	_
беспокоиться	_	V	B1	LM	2	беспокоился	Masc.Sing.Past	_	_	_	_
беспокоиться	_	V	B1	LM	3	беспокоятся	Plur.3.Pres/Fut	_	_	_	_
библиотекарь	_	N.Masc.Anim	B1	Golosa, LM	1	библиотекари	Nom.Plur	_	_	_	_
библиотекарь	_	N.Masc.Anim	B1	Golosa, LM	2	библиотекарем	Ins.Sing	_	_	_	_
